213        Isotope List   
     Name    A   Z 
  191    1 K  35 ( 0      , 1 H   1)  1 CL 34 +   5.982 MEV
  192    1 K  36 ( 0      , 1 H   1)  1 CL 35 +   4.299 MEV
  193    1 K  36 ( 0      , 1 HE  4)  1 S  32 +   6.174 MEV
  194    1 K  48 ( 0      , 1 NE  1)  1 CA 47 +   2.144 MEV
  195    1 CA 36 ( 0      , 1 H   1)  1 AR 35 +   9.318 MEV
  196    1 CA 37 ( 0      , 1 H   1)  1 AR 36 +   9.781 MEV
  197    1 SC 40 ( 0      , 1 H   1)  1 K  39 +   5.995 MEV
  198    1 SC 40 ( 0      , 1 HE  4)  1 AR 36 +   7.283 MEV
  199    1 TI 41 ( 0      , 1 H   1)  1 CA 40 +  11.857 MEV
  200    1 CR 45 ( 0      , 1 H   1)  1 TI 44 +  10.856 MEV
  201    1 HE  6 ( 0      , 2 NE  1)  1 HE  4 +  -0.975 MEV
  202    1 LI  9 ( 0      , 1 NE  1)  2 HE  4 +  12.033 MEV
  203    1 BE  9 ( 0      , 1 NE  1)  2 HE  4 +  -1.574 MEV
  204    1 B  12 ( 0      , 0      )  3 HE  4 +   6.094 MEV
  205    1 C   9 ( 0      , 1 H   1)  2 HE  4 +  16.772 MEV
  206    1 C  12 ( 0      , 0      )  3 HE  4 +  -7.275 MEV
  207    1 AL 22 ( 0      , 2 H   1)  1 NE 20 +  10.665 MEV
  208    1 S  27 ( 0      , 2 H   1)  1 AL 25 +  11.372 MEV
  209    1 H   1 ( 1 NE  1, 0      )  1 H   2 +   2.225 MEV
  210    2 H   1 ( 0      , 0      )  1 H   2 +   1.442 MEV
  211    2 H   1 ( 0      , 0      )  1 H   2 +   1.442 MEV
  212    1 H   2 ( 1 NE  1, 0      )  1 H   3 +   6.257 MEV
  213    1 H   2 ( 1 H   1, 0      )  1 HE  3 +   5.493 MEV
  214    2 H   2 ( 0      , 0      )  1 HE  4 +  23.847 MEV
  215    1 H   2 ( 1 HE  4, 0      )  1 LI  6 +   1.474 MEV
  216    1 H   3 ( 1 H   1, 0      )  1 HE  4 +  19.814 MEV
  217    1 H   3 ( 1 HE  4, 0      )  1 LI  7 +   2.467 MEV
  218    1 HE  3 ( 1 NE  1, 0      )  1 HE  4 +  20.577 MEV
  219    1 HE  3 ( 1 H   1, 0      )  1 HE  4 +  19.796 MEV
  220    1 HE  3 ( 1 HE  4, 0      )  1 BE  7 +   1.586 MEV
  221    2 H   2 ( 0      , 1 NE  1)  1 HE  3 +   3.269 MEV
  222    2 H   2 ( 0      , 1 H   1)  1 H   3 +   4.033 MEV
  223    1 H   3 ( 1 H   1, 1 NE  1)  1 HE  3 +  -0.764 MEV
  224    1 H   3 ( 1 H   1, 0      )  2 H   2 +  -4.033 MEV
  225    1 H   3 ( 1 H   2, 1 NE  1)  1 HE  4 +  17.589 MEV
  226    1 H   3 ( 1 HE  4, 1 NE  1)  1 LI  6 +  -4.782 MEV
  227    1 HE  3 ( 1 NE  1, 1 H   1)  1 H   3 +   0.764 MEV
  228    1 HE  3 ( 1 NE  1, 0      )  2 H   2 +  -3.269 MEV
  229    1 HE  3 ( 1 H   2, 1 H   1)  1 HE  4 +  18.353 MEV
  230    1 HE  3 ( 1 H   3, 1 H   2)  1 HE  4 +  14.320 MEV
  231    1 HE  3 ( 1 HE  4, 1 H   1)  1 LI  6 +  -4.020 MEV
  232    1 HE  4 ( 1 NE  1, 1 H   2)  1 H   3 + -17.589 MEV
  233    1 HE  4 ( 1 H   1, 1 H   2)  1 HE  3 + -18.353 MEV
  234    1 HE  4 ( 1 H   2, 1 H   3)  1 HE  3 + -14.320 MEV
  235    1 LI  6 ( 1 NE  1, 1 HE  4)  1 H   3 +   4.782 MEV
  236    1 LI  6 ( 1 H   1, 1 HE  4)  1 HE  3 +   4.020 MEV
