213        Isotope List   
     Name    A   Z 
 1580    1 AR 39 ( 1 H   1, 1 HE  4)  1 CL 36 +   1.144 MEV
 1581    1 AR 39 ( 1 H   1, 0      )  1 K  40 +   7.582 MEV
 1582    1 CL 36 ( 1 HE  4, 1 H   1)  1 AR 39 +  -1.144 MEV
 1583    1 AR 40 ( 1 H   1, 1 HE  4)  1 CL 37 +   1.586 MEV
 1584    1 AR 40 ( 1 H   1, 0      )  1 K  41 +   7.809 MEV
 1585    1 CL 37 ( 1 HE  4, 1 H   1)  1 AR 40 +  -1.586 MEV
 1586    1 AR 41 ( 1 H   1, 1 NE  1)  1 K  41 +   1.710 MEV
 1587    1 AR 41 ( 1 H   1, 1 HE  4)  1 CL 38 +   1.594 MEV
 1588    1 AR 41 ( 1 H   1, 0      )  1 K  42 +   9.243 MEV
 1589    1 K  41 ( 1 NE  1, 1 H   1)  1 AR 41 +  -1.710 MEV
 1590    1 CL 38 ( 1 HE  4, 1 H   1)  1 AR 41 +  -1.594 MEV
 1591    1 AR 32 ( 1 HE  4, 1 H   1)  1 K  35 +   4.109 MEV
 1592    1 AR 32 ( 1 HE  4, 0      )  1 CA 36 +   6.676 MEV
 1593    1 K  35 ( 1 H   1, 1 HE  4)  1 AR 32 +  -4.109 MEV
 1594    1 AR 33 ( 1 HE  4, 1 H   1)  1 K  36 +   3.169 MEV
 1595    1 AR 33 ( 1 HE  4, 0      )  1 CA 37 +   6.177 MEV
 1596    1 K  36 ( 1 H   1, 1 HE  4)  1 AR 33 +  -3.169 MEV
 1597    1 AR 34 ( 1 HE  4, 1 H   1)  1 K  37 +   1.558 MEV
 1598    1 AR 34 ( 1 HE  4, 0      )  1 CA 38 +   6.106 MEV
 1599    1 K  37 ( 1 H   1, 1 HE  4)  1 AR 34 +  -1.558 MEV
 1600    1 AR 35 ( 1 HE  4, 1 H   1)  1 K  38 +   0.890 MEV
 1601    1 AR 35 ( 1 HE  4, 0      )  1 CA 39 +   6.661 MEV
 1602    1 K  38 ( 1 H   1, 1 HE  4)  1 AR 35 +  -0.890 MEV
 1603    1 AR 36 ( 1 HE  4, 0      )  1 CA 40 +   7.039 MEV
 1604    1 AR 37 ( 1 HE  4, 0      )  1 CA 41 +   6.615 MEV
 1605    1 AR 38 ( 1 HE  4, 0      )  1 CA 42 +   6.257 MEV
 1606    1 AR 39 ( 1 HE  4, 0      )  1 CA 43 +   7.592 MEV
 1607    1 AR 40 ( 1 HE  4, 0      )  1 CA 44 +   8.854 MEV
 1608    1 AR 41 ( 1 HE  4, 1 NE  1)  1 CA 44 +   2.755 MEV
 1609    1 AR 41 ( 1 HE  4, 0      )  1 CA 45 +  10.169 MEV
 1610    1 CA 44 ( 1 NE  1, 1 HE  4)  1 AR 41 +  -2.755 MEV
 1611    1 AR 32 ( 0      , 1 H   1)  1 CL 31 +  -2.420 MEV
 1612    1 AR 32 ( 0      , 1 HE  4)  1 S  28 +  -8.698 MEV
 1613    1 AR 33 ( 0      , 1 NE  1)  1 AR 32 + -15.255 MEV
 1614    1 AR 33 ( 0      , 1 H   1)  1 CL 32 +  -3.343 MEV
 1615    1 AR 33 ( 0      , 1 HE  4)  1 S  29 +  -8.653 MEV
 1616    1 AR 34 ( 0      , 1 NE  1)  1 AR 33 + -17.065 MEV
 1617    1 AR 34 ( 0      , 1 H   1)  1 CL 33 +  -4.664 MEV
 1618    1 AR 34 ( 0      , 1 HE  4)  1 S  30 +  -6.744 MEV
 1619    1 AR 35 ( 0      , 1 NE  1)  1 AR 34 + -12.740 MEV
 1620    1 AR 35 ( 0      , 1 H   1)  1 CL 34 +  -5.896 MEV
 1621    1 AR 35 ( 0      , 1 HE  4)  1 S  31 +  -6.429 MEV
 1622    1 AR 36 ( 0      , 1 NE  1)  1 AR 35 + -15.256 MEV
 1623    1 AR 36 ( 0      , 1 H   1)  1 CL 35 +  -8.507 MEV
 1624    1 AR 36 ( 0      , 1 HE  4)  1 S  32 +  -6.641 MEV
 1625    1 AR 37 ( 0      , 1 NE  1)  1 AR 36 +  -8.787 MEV
 1626    1 AR 37 ( 0      , 1 H   1)  1 CL 36 +  -8.715 MEV
 1627    1 AR 37 ( 0      , 1 HE  4)  1 S  33 +  -6.787 MEV
 1628    1 AR 38 ( 0      , 1 NE  1)  1 AR 37 + -11.838 MEV
 1629    1 AR 38 ( 0      , 1 H   1)  1 CL 37 + -10.242 MEV
 1630    1 AR 38 ( 0      , 1 HE  4)  1 S  34 +  -7.208 MEV
 1631    1 AR 39 ( 0      , 1 NE  1)  1 AR 38 +  -6.598 MEV
 1632    1 AR 39 ( 0      , 1 H   1)  1 CL 38 + -10.733 MEV
 1633    1 AR 39 ( 0      , 1 HE  4)  1 S  35 +  -6.821 MEV
 1634    1 AR 40 ( 0      , 1 NE  1)  1 AR 39 +  -9.869 MEV
 1635    1 AR 40 ( 0      , 1 H   1)  1 CL 39 + -12.529 MEV
 1636    1 AR 40 ( 0      , 1 HE  4)  1 S  36 +  -6.801 MEV
 1637    1 AR 41 ( 0      , 1 NE  1)  1 AR 40 +  -6.099 MEV
 1638    1 AR 41 ( 0      , 1 H   1)  1 CL 40 + -12.799 MEV
 1639    1 AR 41 ( 0      , 1 HE  4)  1 S  37 +  -8.597 MEV
 1640    1 K  34 ( 1 NE  1, 1 H   1)  1 AR 34 +  17.940 MEV
 1641    1 K  34 ( 1 NE  1, 1 HE  4)  1 CL 31 +  11.492 MEV
 1642    1 K  34 ( 1 NE  1, 0      )  1 K  35 +  18.024 MEV
 1643    1 AR 34 ( 1 H   1, 1 NE  1)  1 K  34 + -17.940 MEV
 1644    1 CL 31 ( 1 HE  4, 1 NE  1)  1 K  34 + -11.492 MEV
 1645    1 K  35 ( 1 NE  1, 1 H   1)  1 AR 35 +  12.656 MEV
 1646    1 K  35 ( 1 NE  1, 1 HE  4)  1 CL 32 +   7.808 MEV
 1647    1 K  35 ( 1 NE  1, 0      )  1 K  36 +  14.315 MEV
 1648    1 AR 35 ( 1 H   1, 1 NE  1)  1 K  35 + -12.656 MEV
 1649    1 CL 32 ( 1 HE  4, 1 NE  1)  1 K  35 +  -7.808 MEV
 1650    1 K  36 ( 1 NE  1, 1 H   1)  1 AR 36 +  13.597 MEV
 1651    1 K  36 ( 1 NE  1, 1 HE  4)  1 CL 33 +   9.232 MEV
 1652    1 K  36 ( 1 NE  1, 0      )  1 K  37 +  15.454 MEV
 1653    1 AR 36 ( 1 H   1, 1 NE  1)  1 K  36 + -13.597 MEV
 1654    1 CL 33 ( 1 HE  4, 1 NE  1)  1 K  36 +  -9.232 MEV
 1655    1 K  37 ( 1 NE  1, 1 H   1)  1 AR 37 +   6.930 MEV
 1656    1 K  37 ( 1 NE  1, 1 HE  4)  1 CL 34 +   5.286 MEV
 1657    1 K  37 ( 1 NE  1, 0      )  1 K  38 +  12.072 MEV
 1658    1 AR 37 ( 1 H   1, 1 NE  1)  1 K  37 +  -6.930 MEV
 1659    1 CL 34 ( 1 HE  4, 1 NE  1)  1 K  37 +  -5.286 MEV
 1660    1 K  38 ( 1 NE  1, 1 H   1)  1 AR 38 +   6.696 MEV
 1661    1 K  38 ( 1 NE  1, 1 HE  4)  1 CL 35 +   5.859 MEV
 1662    1 K  38 ( 1 NE  1, 0      )  1 K  39 +  13.077 MEV
 1663    1 AR 38 ( 1 H   1, 1 NE  1)  1 K  38 +  -6.696 MEV
 1664    1 CL 35 ( 1 HE  4, 1 NE  1)  1 K  38 +  -5.859 MEV
 1665    1 K  39 ( 1 NE  1, 1 H   1)  1 AR 39 +   0.217 MEV
 1666    1 K  39 ( 1 NE  1, 1 HE  4)  1 CL 36 +   1.361 MEV
 1667    1 K  39 ( 1 NE  1, 0      )  1 K  40 +   7.799 MEV
 1668    1 AR 39 ( 1 H   1, 1 NE  1)  1 K  39 +  -0.217 MEV
 1669    1 CL 36 ( 1 HE  4, 1 NE  1)  1 K  39 +  -1.361 MEV
 1670    1 K  40 ( 1 NE  1, 1 H   1)  1 AR 40 +   2.287 MEV
 1671    1 K  40 ( 1 NE  1, 1 HE  4)  1 CL 37 +   3.873 MEV
 1672    1 K  40 ( 1 NE  1, 0      )  1 K  41 +  10.096 MEV
 1673    1 AR 40 ( 1 H   1, 1 NE  1)  1 K  40 +  -2.287 MEV
 1674    1 CL 37 ( 1 HE  4, 1 NE  1)  1 K  40 +  -3.873 MEV
 1675    1 K  41 ( 1 NE  1, 0      )  1 K  42 +   7.533 MEV
 1676    1 K  42 ( 1 NE  1, 1 HE  4)  1 CL 39 +   0.424 MEV
 1677    1 K  42 ( 1 NE  1, 0      )  1 K  43 +   9.624 MEV
 1678    1 CL 39 ( 1 HE  4, 1 NE  1)  1 K  42 +  -0.424 MEV
 1679    1 K  43 ( 1 NE  1, 0      )  1 K  44 +   7.277 MEV
 1680    1 K  44 ( 1 NE  1, 0      )  1 K  45 +   8.906 MEV
 1681    1 K  45 ( 1 NE  1, 0      )  1 K  46 +   6.869 MEV
 1682    1 K  46 ( 1 NE  1, 0      )  1 K  47 +   8.369 MEV
 1683    1 K  47 ( 1 NE  1, 0      )  1 K  48 +   4.643 MEV
 1684    1 K  35 ( 1 H   1, 0      )  1 CA 36 +   2.556 MEV
 1685    1 K  36 ( 1 H   1, 0      )  1 CA 37 +   3.008 MEV
 1686    1 K  37 ( 1 H   1, 0      )  1 CA 38 +   4.548 MEV
 1687    1 K  38 ( 1 H   1, 0      )  1 CA 39 +   5.771 MEV
 1688    1 K  39 ( 1 H   1, 1 HE  4)  1 AR 36 +   1.289 MEV
 1689    1 K  39 ( 1 H   1, 0      )  1 CA 40 +   8.328 MEV
 1690    1 AR 36 ( 1 HE  4, 1 H   1)  1 K  39 +  -1.289 MEV
 1691    1 K  40 ( 1 H   1, 1 NE  1)  1 CA 40 +   0.529 MEV
 1692    1 K  40 ( 1 H   1, 1 HE  4)  1 AR 37 +   2.277 MEV
 1693    1 K  40 ( 1 H   1, 0      )  1 CA 41 +   8.892 MEV
 1694    1 CA 40 ( 1 NE  1, 1 H   1)  1 K  40 +  -0.529 MEV
 1695    1 AR 37 ( 1 HE  4, 1 H   1)  1 K  40 +  -2.277 MEV
 1696    1 K  41 ( 1 H   1, 1 HE  4)  1 AR 38 +   4.019 MEV
 1697    1 K  41 ( 1 H   1, 0      )  1 CA 42 +  10.276 MEV
 1698    1 AR 38 ( 1 HE  4, 1 H   1)  1 K  41 +  -4.019 MEV
 1699    1 K  42 ( 1 H   1, 1 NE  1)  1 CA 42 +   2.743 MEV
 1700    1 K  42 ( 1 H   1, 1 HE  4)  1 AR 39 +   3.084 MEV
 1701    1 K  42 ( 1 H   1, 0      )  1 CA 43 +  10.676 MEV
 1702    1 CA 42 ( 1 NE  1, 1 H   1)  1 K  42 +  -2.743 MEV
 1703    1 AR 39 ( 1 HE  4, 1 H   1)  1 K  42 +  -3.084 MEV
 1704    1 K  43 ( 1 H   1, 1 NE  1)  1 CA 43 +   1.052 MEV
 1705    1 K  43 ( 1 H   1, 1 HE  4)  1 AR 40 +   3.329 MEV
 1706    1 K  43 ( 1 H   1, 0      )  1 CA 44 +  12.183 MEV
 1707    1 CA 43 ( 1 NE  1, 1 H   1)  1 K  43 +  -1.052 MEV
 1708    1 AR 40 ( 1 HE  4, 1 H   1)  1 K  43 +  -3.329 MEV
 1709    1 K  44 ( 1 H   1, 1 NE  1)  1 CA 44 +   4.906 MEV
 1710    1 K  44 ( 1 H   1, 1 HE  4)  1 AR 41 +   2.151 MEV
 1711    1 K  44 ( 1 H   1, 0      )  1 CA 45 +  12.320 MEV
 1712    1 CA 44 ( 1 NE  1, 1 H   1)  1 K  44 +  -4.906 MEV
 1713    1 AR 41 ( 1 HE  4, 1 H   1)  1 K  44 +  -2.151 MEV
 1714    1 K  45 ( 1 H   1, 1 NE  1)  1 CA 45 +   3.414 MEV
 1715    1 K  45 ( 1 H   1, 0      )  1 CA 46 +  13.811 MEV
 1716    1 CA 45 ( 1 NE  1, 1 H   1)  1 K  45 +  -3.414 MEV
 1717    1 K  46 ( 1 H   1, 1 NE  1)  1 CA 46 +   6.942 MEV
 1718    1 K  46 ( 1 H   1, 0      )  1 CA 47 +  14.218 MEV
 1719    1 CA 46 ( 1 NE  1, 1 H   1)  1 K  46 +  -6.942 MEV
 1720    1 K  47 ( 1 H   1, 1 NE  1)  1 CA 47 +   5.849 MEV
 1721    1 K  47 ( 1 H   1, 0      )  1 CA 48 +  15.802 MEV
 1722    1 CA 47 ( 1 NE  1, 1 H   1)  1 K  47 +  -5.849 MEV
 1723    1 K  48 ( 1 H   1, 1 NE  1)  1 CA 48 +  11.159 MEV
 1724    1 CA 48 ( 1 NE  1, 1 H   1)  1 K  48 + -11.159 MEV
 1725    1 K  34 ( 1 HE  4, 1 H   1)  1 CA 37 +   7.052 MEV
 1726    1 CA 37 ( 1 H   1, 1 HE  4)  1 K  34 +  -7.052 MEV
 1727    1 K  35 ( 1 HE  4, 1 H   1)  1 CA 38 +   6.022 MEV
 1728    1 CA 38 ( 1 H   1, 1 HE  4)  1 K  35 +  -6.022 MEV
 1729    1 K  36 ( 1 HE  4, 1 H   1)  1 CA 39 +   5.002 MEV
 1730    1 K  36 ( 1 HE  4, 0      )  1 SC 40 +   5.531 MEV
 1731    1 CA 39 ( 1 H   1, 1 HE  4)  1 K  36 +  -5.002 MEV
 1732    1 K  37 ( 1 HE  4, 1 H   1)  1 CA 40 +   5.182 MEV
 1733    1 K  37 ( 1 HE  4, 0      )  1 SC 41 +   6.267 MEV
 1734    1 CA 40 ( 1 H   1, 1 HE  4)  1 K  37 +  -5.182 MEV
 1735    1 K  38 ( 1 HE  4, 1 H   1)  1 CA 41 +   1.473 MEV
 1736    1 K  38 ( 1 HE  4, 0      )  1 SC 42 +   5.745 MEV
 1737    1 CA 41 ( 1 H   1, 1 HE  4)  1 K  38 +  -1.473 MEV
 1738    1 K  39 ( 1 HE  4, 0      )  1 SC 43 +   4.806 MEV
 1739    1 K  40 ( 1 HE  4, 1 H   1)  1 CA 43 +   0.010 MEV
 1740    1 K  40 ( 1 HE  4, 0      )  1 SC 44 +   6.706 MEV
 1741    1 CA 43 ( 1 H   1, 1 HE  4)  1 K  40 +  -0.010 MEV
 1742    1 K  41 ( 1 HE  4, 1 H   1)  1 CA 44 +   1.045 MEV
 1743    1 K  41 ( 1 HE  4, 0      )  1 SC 45 +   7.936 MEV
 1744    1 CA 44 ( 1 H   1, 1 HE  4)  1 K  41 +  -1.045 MEV
 1745    1 K  42 ( 1 HE  4, 1 NE  1)  1 SC 45 +   0.403 MEV
 1746    1 K  42 ( 1 HE  4, 1 H   1)  1 CA 45 +   0.926 MEV
 1747    1 K  42 ( 1 HE  4, 0      )  1 SC 46 +   9.164 MEV
 1748    1 SC 45 ( 1 NE  1, 1 HE  4)  1 K  42 +  -0.403 MEV
 1749    1 CA 45 ( 1 H   1, 1 HE  4)  1 K  42 +  -0.926 MEV
 1750    1 K  43 ( 1 HE  4, 1 H   1)  1 CA 46 +   1.699 MEV
 1751    1 K  43 ( 1 HE  4, 0      )  1 SC 47 +  10.186 MEV
 1752    1 CA 46 ( 1 H   1, 1 HE  4)  1 K  43 +  -1.699 MEV
 1753    1 K  44 ( 1 HE  4, 1 NE  1)  1 SC 47 +   2.909 MEV
 1754    1 K  44 ( 1 HE  4, 1 H   1)  1 CA 47 +   1.698 MEV
 1755    1 K  44 ( 1 HE  4, 0      )  1 SC 48 +  11.147 MEV
 1756    1 SC 47 ( 1 NE  1, 1 HE  4)  1 K  44 +  -2.909 MEV
 1757    1 CA 47 ( 1 H   1, 1 HE  4)  1 K  44 +  -1.698 MEV
 1758    1 K  45 ( 1 HE  4, 1 NE  1)  1 SC 48 +   2.241 MEV
 1759    1 K  45 ( 1 HE  4, 1 H   1)  1 CA 48 +   2.745 MEV
 1760    1 K  45 ( 1 HE  4, 0      )  1 SC 49 +  12.370 MEV
 1761    1 SC 48 ( 1 NE  1, 1 HE  4)  1 K  45 +  -2.241 MEV
 1762    1 CA 48 ( 1 H   1, 1 HE  4)  1 K  45 +  -2.745 MEV
 1763    1 K  46 ( 1 HE  4, 1 NE  1)  1 SC 49 +   5.501 MEV
 1764    1 K  46 ( 1 HE  4, 0      )  1 SC 50 +  11.559 MEV
 1765    1 SC 49 ( 1 NE  1, 1 HE  4)  1 K  46 +  -5.501 MEV
 1766    1 K  47 ( 1 HE  4, 1 NE  1)  1 SC 50 +   3.190 MEV
 1767    1 SC 50 ( 1 NE  1, 1 HE  4)  1 K  47 +  -3.190 MEV
 1768    1 K  34 ( 0      , 1 H   1)  1 AR 33 +   0.875 MEV
 1769    1 K  34 ( 0      , 1 HE  4)  1 CL 30 +  -8.088 MEV
 1770    1 K  35 ( 0      , 1 NE  1)  1 K  34 + -18.024 MEV
 1771    1 K  35 ( 0      , 1 H   1)  1 AR 34 +  -0.084 MEV
 1772    1 K  35 ( 0      , 1 HE  4)  1 CL 31 +  -6.532 MEV
 1773    1 K  36 ( 0      , 1 NE  1)  1 K  35 + -14.315 MEV
 1774    1 K  36 ( 0      , 1 H   1)  1 AR 35 +  -1.668 MEV
 1775    1 K  36 ( 0      , 1 HE  4)  1 CL 32 +  -6.507 MEV
 1776    1 K  37 ( 0      , 1 NE  1)  1 K  36 + -15.454 MEV
 1777    1 K  37 ( 0      , 1 H   1)  1 AR 36 +  -1.858 MEV
 1778    1 K  37 ( 0      , 1 HE  4)  1 CL 33 +  -6.222 MEV
 1779    1 K  38 ( 0      , 1 NE  1)  1 K  37 + -12.072 MEV
 1780    1 K  38 ( 0      , 1 H   1)  1 AR 37 +  -5.142 MEV
 1781    1 K  38 ( 0      , 1 HE  4)  1 CL 34 +  -6.786 MEV
 1782    1 K  39 ( 0      , 1 NE  1)  1 K  38 + -13.077 MEV
 1783    1 K  39 ( 0      , 1 H   1)  1 AR 38 +  -6.381 MEV
 1784    1 K  39 ( 0      , 1 HE  4)  1 CL 35 +  -7.218 MEV
 1785    1 K  40 ( 0      , 1 NE  1)  1 K  39 +  -7.799 MEV
 1786    1 K  40 ( 0      , 1 H   1)  1 AR 39 +  -7.582 MEV
 1787    1 K  40 ( 0      , 1 HE  4)  1 CL 36 +  -6.438 MEV
 1788    1 K  41 ( 0      , 1 NE  1)  1 K  40 + -10.096 MEV
 1789    1 K  41 ( 0      , 1 H   1)  1 AR 40 +  -7.809 MEV
 1790    1 K  41 ( 0      , 1 HE  4)  1 CL 37 +  -6.223 MEV
 1791    1 K  42 ( 0      , 1 NE  1)  1 K  41 +  -7.533 MEV
 1792    1 K  42 ( 0      , 1 H   1)  1 AR 41 +  -9.243 MEV
 1793    1 K  42 ( 0      , 1 HE  4)  1 CL 38 +  -7.649 MEV
 1794    1 K  43 ( 0      , 1 NE  1)  1 K  42 +  -9.624 MEV
 1795    1 K  43 ( 0      , 1 HE  4)  1 CL 39 +  -9.200 MEV
 1796    1 K  44 ( 0      , 1 NE  1)  1 K  43 +  -7.277 MEV
 1797    1 K  44 ( 0      , 1 HE  4)  1 CL 40 + -10.648 MEV
 1798    1 K  45 ( 0      , 1 NE  1)  1 K  44 +  -8.906 MEV
 1799    1 K  46 ( 0      , 1 NE  1)  1 K  45 +  -6.869 MEV
 1800    1 K  47 ( 0      , 1 NE  1)  1 K  46 +  -8.369 MEV
 1801    1 K  48 ( 0      , 1 NE  1)  1 K  47 +  -4.643 MEV
 1802    1 CA 36 ( 1 NE  1, 1 H   1)  1 K  36 +  11.748 MEV
 1803    1 CA 36 ( 1 NE  1, 1 HE  4)  1 AR 33 +   8.579 MEV
 1804    1 CA 36 ( 1 NE  1, 0      )  1 CA 37 +  14.756 MEV
 1805    1 K  36 ( 1 H   1, 1 NE  1)  1 CA 36 + -11.748 MEV
 1806    1 AR 33 ( 1 HE  4, 1 NE  1)  1 CA 36 +  -8.579 MEV
 1807    1 CA 37 ( 1 NE  1, 1 H   1)  1 K  37 +  12.446 MEV
 1808    1 CA 37 ( 1 NE  1, 1 HE  4)  1 AR 34 +  10.888 MEV
 1809    1 CA 37 ( 1 NE  1, 0      )  1 CA 38 +  16.994 MEV
 1810    1 K  37 ( 1 H   1, 1 NE  1)  1 CA 37 + -12.446 MEV
 1811    1 AR 34 ( 1 HE  4, 1 NE  1)  1 CA 37 + -10.888 MEV
 1812    1 CA 38 ( 1 NE  1, 1 H   1)  1 K  38 +   7.524 MEV
 1813    1 CA 38 ( 1 NE  1, 1 HE  4)  1 AR 35 +   6.634 MEV
 1814    1 CA 38 ( 1 NE  1, 0      )  1 CA 39 +  13.295 MEV
 1815    1 K  38 ( 1 H   1, 1 NE  1)  1 CA 38 +  -7.524 MEV
 1816    1 AR 35 ( 1 HE  4, 1 NE  1)  1 CA 38 +  -6.634 MEV
 1817    1 CA 39 ( 1 NE  1, 1 H   1)  1 K  39 +   7.306 MEV
 1818    1 CA 39 ( 1 NE  1, 1 HE  4)  1 AR 36 +   8.595 MEV
 1819    1 CA 39 ( 1 NE  1, 0      )  1 CA 40 +  15.634 MEV
 1820    1 K  39 ( 1 H   1, 1 NE  1)  1 CA 39 +  -7.306 MEV
 1821    1 AR 36 ( 1 HE  4, 1 NE  1)  1 CA 39 +  -8.595 MEV
 1822    1 CA 40 ( 1 NE  1, 1 HE  4)  1 AR 37 +   1.748 MEV
 1823    1 CA 40 ( 1 NE  1, 0      )  1 CA 41 +   8.363 MEV
 1824    1 AR 37 ( 1 HE  4, 1 NE  1)  1 CA 40 +  -1.748 MEV
 1825    1 CA 41 ( 1 NE  1, 1 H   1)  1 K  41 +   1.204 MEV
 1826    1 CA 41 ( 1 NE  1, 1 HE  4)  1 AR 38 +   5.223 MEV
 1827    1 CA 41 ( 1 NE  1, 0      )  1 CA 42 +  11.480 MEV
 1828    1 K  41 ( 1 H   1, 1 NE  1)  1 CA 41 +  -1.204 MEV
 1829    1 AR 38 ( 1 HE  4, 1 NE  1)  1 CA 41 +  -5.223 MEV
 1830    1 CA 42 ( 1 NE  1, 1 HE  4)  1 AR 39 +   0.341 MEV
 1831    1 CA 42 ( 1 NE  1, 0      )  1 CA 43 +   7.933 MEV
 1832    1 AR 39 ( 1 HE  4, 1 NE  1)  1 CA 42 +  -0.341 MEV
 1833    1 CA 43 ( 1 NE  1, 1 HE  4)  1 AR 40 +   2.277 MEV
 1834    1 CA 43 ( 1 NE  1, 0      )  1 CA 44 +  11.131 MEV
 1835    1 AR 40 ( 1 HE  4, 1 NE  1)  1 CA 43 +  -2.277 MEV
 1836    1 CA 44 ( 1 NE  1, 0      )  1 CA 45 +   7.414 MEV
 1837    1 CA 45 ( 1 NE  1, 0      )  1 CA 46 +  10.397 MEV
 1838    1 CA 46 ( 1 NE  1, 0      )  1 CA 47 +   7.276 MEV
 1839    1 CA 47 ( 1 NE  1, 0      )  1 CA 48 +   9.953 MEV
 1840    1 CA 39 ( 1 H   1, 0      )  1 SC 40 +   0.538 MEV
 1841    1 CA 40 ( 1 H   1, 0      )  1 SC 41 +   1.085 MEV
 1842    1 CA 41 ( 1 H   1, 0      )  1 SC 42 +   4.272 MEV
 1843    1 CA 42 ( 1 H   1, 1 HE  4)  1 K  39 +   0.124 MEV
 1844    1 CA 42 ( 1 H   1, 0      )  1 SC 43 +   4.930 MEV
 1845    1 K  39 ( 1 HE  4, 1 H   1)  1 CA 42 +  -0.124 MEV
 1846    1 CA 43 ( 1 H   1, 0      )  1 SC 44 +   6.696 MEV
 1847    1 CA 44 ( 1 H   1, 0      )  1 SC 45 +   6.891 MEV
 1848    1 CA 45 ( 1 H   1, 0      )  1 SC 46 +   8.238 MEV
 1849    1 CA 46 ( 1 H   1, 0      )  1 SC 47 +   8.487 MEV
 1850    1 CA 47 ( 1 H   1, 1 NE  1)  1 SC 47 +   1.211 MEV
 1851    1 CA 47 ( 1 H   1, 0      )  1 SC 48 +   9.449 MEV
 1852    1 SC 47 ( 1 NE  1, 1 H   1)  1 CA 47 +  -1.211 MEV
 1853    1 CA 48 ( 1 H   1, 0      )  1 SC 49 +   9.625 MEV
 1854    1 CA 37 ( 1 HE  4, 1 H   1)  1 SC 40 +   2.523 MEV
 1855    1 CA 37 ( 1 HE  4, 0      )  1 TI 41 +   4.987 MEV
 1856    1 SC 40 ( 1 H   1, 1 HE  4)  1 CA 37 +  -2.523 MEV
 1857    1 CA 38 ( 1 HE  4, 1 H   1)  1 SC 41 +   1.719 MEV
 1858    1 CA 38 ( 1 HE  4, 0      )  1 TI 42 +   5.471 MEV
 1859    1 SC 41 ( 1 H   1, 1 HE  4)  1 CA 38 +  -1.719 MEV
 1860    1 CA 39 ( 1 HE  4, 0      )  1 TI 43 +   4.463 MEV
 1861    1 CA 40 ( 1 HE  4, 0      )  1 TI 44 +   5.127 MEV
 1862    1 CA 41 ( 1 HE  4, 0      )  1 TI 45 +   6.296 MEV
 1863    1 CA 42 ( 1 HE  4, 0      )  1 TI 46 +   8.005 MEV
 1864    1 CA 43 ( 1 HE  4, 1 NE  1)  1 TI 46 +   0.072 MEV
 1865    1 CA 43 ( 1 HE  4, 0      )  1 TI 47 +   8.952 MEV
 1866    1 TI 46 ( 1 NE  1, 1 HE  4)  1 CA 43 +  -0.072 MEV
 1867    1 CA 44 ( 1 HE  4, 0      )  1 TI 48 +   9.448 MEV
 1868    1 CA 45 ( 1 HE  4, 1 NE  1)  1 TI 48 +   2.034 MEV
 1869    1 CA 45 ( 1 HE  4, 0      )  1 TI 49 +  10.176 MEV
 1870    1 TI 48 ( 1 NE  1, 1 HE  4)  1 CA 45 +  -2.034 MEV
 1871    1 CA 46 ( 1 HE  4, 0      )  1 TI 50 +  10.718 MEV
 1872    1 CA 47 ( 1 HE  4, 1 NE  1)  1 TI 50 +   3.442 MEV
 1873    1 CA 47 ( 1 HE  4, 0      )  1 TI 51 +   9.814 MEV
 1874    1 TI 50 ( 1 NE  1, 1 HE  4)  1 CA 47 +  -3.442 MEV
 1875    1 CA 36 ( 0      , 1 H   1)  1 K  35 +  -2.556 MEV
 1876    1 CA 36 ( 0      , 1 HE  4)  1 AR 32 +  -6.676 MEV
 1877    1 CA 37 ( 0      , 1 NE  1)  1 CA 36 + -14.756 MEV
 1878    1 CA 37 ( 0      , 1 H   1)  1 K  36 +  -3.008 MEV
 1879    1 CA 37 ( 0      , 1 HE  4)  1 AR 33 +  -6.177 MEV
 1880    1 CA 38 ( 0      , 1 NE  1)  1 CA 37 + -16.994 MEV
 1881    1 CA 38 ( 0      , 1 H   1)  1 K  37 +  -4.548 MEV
 1882    1 CA 38 ( 0      , 1 HE  4)  1 AR 34 +  -6.106 MEV
 1883    1 CA 39 ( 0      , 1 NE  1)  1 CA 38 + -13.295 MEV
 1884    1 CA 39 ( 0      , 1 H   1)  1 K  38 +  -5.771 MEV
 1885    1 CA 39 ( 0      , 1 HE  4)  1 AR 35 +  -6.661 MEV
 1886    1 CA 40 ( 0      , 1 NE  1)  1 CA 39 + -15.634 MEV
 1887    1 CA 40 ( 0      , 1 H   1)  1 K  39 +  -8.328 MEV
 1888    1 CA 40 ( 0      , 1 HE  4)  1 AR 36 +  -7.039 MEV
 1889    1 CA 41 ( 0      , 1 NE  1)  1 CA 40 +  -8.363 MEV
 1890    1 CA 41 ( 0      , 1 H   1)  1 K  40 +  -8.892 MEV
 1891    1 CA 41 ( 0      , 1 HE  4)  1 AR 37 +  -6.615 MEV
 1892    1 CA 42 ( 0      , 1 NE  1)  1 CA 41 + -11.480 MEV
 1893    1 CA 42 ( 0      , 1 H   1)  1 K  41 + -10.276 MEV
 1894    1 CA 42 ( 0      , 1 HE  4)  1 AR 38 +  -6.257 MEV
 1895    1 CA 43 ( 0      , 1 NE  1)  1 CA 42 +  -7.933 MEV
 1896    1 CA 43 ( 0      , 1 H   1)  1 K  42 + -10.676 MEV
